constructorId,year,constructorRef,constructor_name,constructor_nationality,races_count,finished_races,finish_rate,dnf_count,dnf_rate,mech_dnf_count,mech_dnf_rate,crash_dnf_count,crash_dnf_rate,other_dnf_count,other_dnf_rate,reliability_rate,win_count,podiums,top10_finishes,total_points,points_per_race,avg_finish_position,std_finish_position,consistency_index,performance_score
9,2018,red_bull,Red Bull,Austrian,120.0,98.0,0.8166666666666667,22.0,0.18333333333333332,14.0,0.11666666666666667,6.0,0.05,2.0,0.016666666666666666,0.8833333333333333,5,32,90,1023.0,8.525,4.541666666666667,3.703367461588919,0.21261362378481355,6.962083333333333
9,2019,red_bull,Red Bull,Austrian,162.0,128.0,0.7901234567901234,34.0,0.20987654320987653,22.0,0.13580246913580246,8.0,0.04938271604938271,3.0,0.018518518518518517,0.8641975308641976,9,45,120,1442.0,8.901234567901234,4.049382716049383,3.488610160727109,0.22278611066504606,7.033074226489863
9,2020,red_bull,Red Bull,Austrian,204.0,167.0,0.8186274509803921,37.0,0.18137254901960784,24.0,0.11764705882352941,9.0,0.04411764705882353,3.0,0.014705882352941176,0.8823529411764706,12,54,156,1859.0,9.112745098039216,4.235294117647059,3.4475807675512007,0.2248413356078503,7.459943291041907
9,2021,red_bull,Red Bull,Austrian,238.0,195.0,0.819327731092437,43.0,0.18067226890756302,28.0,0.11764705882352941,11.0,0.046218487394957986,3.0,0.012605042016806723,0.8823529411764706,14,67,180,2178.0,9.15126050420168,4.273109243697479,3.5735065630460294,0.21865061003301234,7.497881505543393
9,2022,red_bull,Red Bull,Austrian,282.0,234.0,0.8297872340425532,48.0,0.1702127659574468,28.0,0.09929078014184398,16.0,0.05673758865248227,3.0,0.010638297872340425,0.900709219858156,25,90,215,2756.5,9.77482269503546,4.198581560283688,3.7058892332752427,0.21249968931036908,8.11102308736985
9,2023,red_bull,Red Bull,Austrian,326.0,275.0,0.843558282208589,51.0,0.15644171779141106,30.0,0.09202453987730061,17.0,0.05214723926380368,3.0,0.009202453987730062,0.9079754601226994,42,118,254,3480.5,10.67638036809816,4.0552147239263805,3.746984937191209,0.21066003225864458,9.006149083518386
9,2024,red_bull,Red Bull,Austrian,370.0,317.0,0.8567567567567568,53.0,0.14324324324324325,30.0,0.08108108108108109,19.0,0.051351351351351354,3.0,0.008108108108108109,0.9189189189189189,63,148,295,4270.5,11.541891891891892,3.891891891891892,3.6862328517012166,0.213391018254028,9.888593864134405
9,2025,red_bull,Red Bull,Austrian,418.0,360.0,0.861244019138756,58.0,0.13875598086124402,31.0,0.07416267942583732,23.0,0.05502392344497608,3.0,0.007177033492822967,0.9258373205741627,72,166,334,4807.5,11.501196172248804,3.985645933014354,3.7759988303100145,0.2093802857851808,9.905336416290837
10,2015,force_india,Force India,Indian,466.0,405.0,0.869098712446352,61.0,0.13090128755364808,31.0,0.06652360515021459,26.0,0.055793991416309016,3.0,0.006437768240343348,0.9334763948497854,80,181,364,5217.5,11.196351931330472,4.409871244635193,4.204716999727775,0.19213340515004054,9.73073504761554
10,2016,force_india,Force India,Indian,38.0,31.0,0.8157894736842105,7.0,0.18421052631578946,4.0,0.10526315789473684,3.0,0.07894736842105263,0.0,0.0,0.8947368421052632,0,1,21,136.0,3.5789473684210527,7.052631578947368,4.3343631136659555,0.18746380377408656,2.919667590027701
10,2017,force_india,Force India,Indian,80.0,69.0,0.8625,11.0,0.1375,5.0,0.0625,6.0,0.075,0.0,0.0,0.9375,0,3,51,309.0,3.8625,7.525,4.3674220084622,0.1863091812835686,3.33140625
10,2018,force_india,Force India,Indian,120.0,107.0,0.8916666666666667,13.0,0.10833333333333334,5.0,0.041666666666666664,7.0,0.058333333333333334,0.0,0.0,0.9583333333333334,0,3,86,496.0,4.133333333333334,7.525,3.9580350764826053,0.20169280462401107,3.685555555555556
15,2015,sauber,Sauber,Swiss,162.0,142.0,0.8765432098765432,20.0,0.12345679012345678,9.0,0.05555555555555555,10.0,0.06172839506172839,0.0,0.0,0.9444444444444444,0,4,108,607.0,3.746913580246914,7.574074074074074,4.1674896306617875,0.1935175629703068,3.2843316567596403
15,2016,sauber,Sauber,Swiss,38.0,33.0,0.868421052631579,5.0,0.13157894736842105,2.0,0.05263157894736842,2.0,0.05263157894736842,1.0,0.02631578947368421,0.9473684210526316,0,0,11,36.0,0.9473684210526315,9.631578947368421,4.814567000433377,0.1719818517742537,0.8227146814404432
15,2017,sauber,Sauber,Swiss,80.0,66.0,0.825,14.0,0.175,7.0,0.0875,5.0,0.0625,2.0,0.025,0.9125,0,0,12,38.0,0.475,10.8,5.908468498688979,0.14474988200203417,0.391875
15,2018,sauber,Sauber,Swiss,120.0,96.0,0.8,24.0,0.2,10.0,0.08333333333333333,12.0,0.1,2.0,0.016666666666666666,0.9166666666666666,0,0,14,43.0,0.35833333333333334,10.758333333333333,6.111458954746859,0.14061812159268747,0.2866666666666667
15,2024,sauber,Sauber,Swiss,162.0,128.0,0.7901234567901234,34.0,0.20987654320987653,14.0,0.08641975308641975,17.0,0.10493827160493827,2.0,0.012345679012345678,0.9135802469135803,0,0,30,91.0,0.5617283950617284,10.154320987654321,6.019075631068484,0.14246890225455147,0.443834781283341
15,2025,sauber,Sauber,Swiss,210.0,172.0,0.819047619047619,38.0,0.18095238095238095,15.0,0.07142857142857142,18.0,0.08571428571428572,4.0,0.01904761904761905,0.9285714285714286,0,0,31,95.0,0.4523809523809524,11.057142857142857,6.005281122524093,0.1427494460978444,0.3705215419501134
